+----------+----------------+-------------------------------------------------------+-------------------+--------------+------------------+-------------+--------------------+----------------+--------------------+-------------+----------+--------------------+
| page_id  | page_namespace | page_title                                            | page_restrictions | page_counter | page_is_redirect | page_is_new | page_random        | page_touched   | page_links_updated | page_latest | page_len | page_content_model |
| 22574804 |              1 | Q10484640                                             |                   |            0 |                0 |           1 |      0.89047751448 | 20150819175645 | 20150819175645     |   244168046 |      166 | wikitext           |
| 16293451 |              1 | Q1048538                                              |                   |            0 |                0 |           0 |     0.845870282072 | 20160820102858 | 20160820105257     |    66214338 |     1281 | wikitext           |
| 16293613 |              1 | Q1048547                                              |                   |            0 |                0 |           1 |     0.326043349004 | 20160820102858 | 20160820105240     |    66156516 |     1340 | wikitext           |
| 17580635 |              1 | Q1048835                                              |                   |            0 |                0 |           1 |      0.24338891927 | 20160920113736 | 20160911174119     |   116770846 |       22 | wikitext           |
|  7641642 |              1 | Q104891                                               |                   |            0 |                0 |           1 |     0.909577557942 | 20130810102808 | NULL               |    13521180 |      219 | wikitext           |
| 24695196 |              1 | Q1048993                                              |                   |            0 |                0 |           1 |     0.394061618502 | 20160208071916 | 20160208071917     |   301785068 |      310 | wikitext           |
| 21721269 |              1 | Q10491412                                             |                   |            0 |                0 |           1 |     0.115075106661 | 20160917175208 | 20160820112713     |   221413870 |       83 | wikitext           |
| 16296531 |              1 | Q1049166                                              |                   |            0 |                0 |           0 |     0.620985022487 | 20160820102858 | 20160820105252     |    66218596 |     1574 | wikitext           |
| 16296474 |              1 | Q1049182                                              |                   |            0 |                0 |           1 |     0.186536466226 | 20160820102858 | 20160820105252     |    66214224 |     1260 | wikitext           |
| 20114207 |              1 | Q1049358                                              |                   |            0 |                0 |           1 |     0.088739096744 | 20160920121615 | 20160820111614     |   177963461 |      217 | wikitext           |
| 26223741 |              1 | Q104940                                               |                   |            0 |                0 |           0 |     0.639167470975 | 20160916073830 | 20160804001049     |   340570614 |     1363 | wikitext           |
| 16324676 |              1 | Q1049519                                              |                   |            0 |                0 |           1 |     0.705777989834 | 20160820102901 | 20160820105248     |    66901536 |     1449 | wikitext           |
| 16324717 |              1 | Q1049523                                              |                   |            0 |                0 |           0 |     0.669942945351 | 20160820102901 | 20160820105245     |   140904842 |     1255 | wikitext           |
| 16879176 |              1 | Q10495784                                             |                   |            0 |                0 |           1 |     0.088173418142 | 20150717072517 | NULL               |    89346571 |       40 | wikitext           |
| 16296586 |              1 | Q1049582                                              |                   |            0 |                0 |           1 |      0.90167914684 | 20160820102858 | 20160820105158     |    66223374 |     1232 | wikitext           |
| 16296617 |              1 | Q1049588                                              |                   |            0 |                0 |           0 |     0.193086342318 | 20160820102858 | 20160820105246     |    84229755 |     1572 | wikitext           |
| 16297819 |              1 | Q1049593                                              |                   |            0 |                0 |           0 |     0.004457770679 | 20160820102858 | 20160820105242     |    66902677 |     1230 | wikitext           |
| 21431086 |              1 | Q10496257                                             |                   |            0 |                0 |           0 |     0.596254370525 | 20150424125650 | 20150424125644     |   212629549 |      345 | wikitext           |
| 16879180 |              1 | Q10498149                                             |                   |            0 |                0 |           1 |     0.660492960683 | 20150717072517 | NULL               |    89346849 |       40 | wikitext           |
| 16324768 |              1 | Q1049932                                              |                   |            0 |                0 |           1 |     0.861288874679 | 20160820102901 | 20160820105250     |    66904688 |     1282 | wikitext           |
| 16324804 |              1 | Q1049938                                              |                   |            0 |                0 |           1 |     0.285574225433 | 20160820102901 | 20160820105245     |    66906347 |     1449 | wikitext           |
| 16465871 |              1 | Q1050026                                              |                   |            0 |                0 |           0 |     0.829561737939 | 20160820102909 | 20160820105256     |    68233837 |     1248 | wikitext           |
| 16465995 |              1 | Q1050029                                              |                   |            0 |                0 |           1 |     0.469108634084 | 20160820102909 | 20160820105244     |    68234207 |     1331 | wikitext           |
| 16879208 |              1 | Q10501621                                             |                   |            0 |                0 |           1 |     0.134548680083 | 20150717072517 | NULL               |    89348510 |       40 | wikitext           |
| 16879211 |              1 | Q10503899                                             |                   |            0 |                0 |           1 |     0.164651991139 | 20150717072517 | NULL               |    89348588 |       40 | wikitext           |
| 16879212 |              1 | Q10504822                                             |                   |            0 |                0 |           1 |     0.022476835277 | 20150717072517 | NULL               |    89348666 |       40 | wikitext           |
